"id","titulo","guia_id"
498,"Proporção da População Servida com Esgotamento Sanitário (↑)",NULL
499,"Percentual de Absenteísmo de Consultas Médicas Especializadas (↓)",NULL
500,"Percentual de Execução de Cirurgias Eletivas (AIH ou APAC) (↑)",NULL
501,"Percentual de Cumprimento das Normativas para Solicitação de Recursos a Título de Investimento para Obras e Serviços de Engenharia  (↑)",NULL
502,"Taxa de Ocupação do Centro Cirúrgico (↑)",NULL
503,"Taxa de Infecção de Sítio Cirúrgico (ISC) (↓)",NULL
504,"Taxa de Incidência de Casos Notificados de Dengue (↓)",NULL
505," Densidade de Incidência de Infecção Primária de Corrente Sanguínea Laboratorial - DI de IPCL (↓)",NULL
506,"Número Absoluto de Casos de Violência Interpessoal/Autoprovocada Registrados no SINAN (↑) ",NULL
507,"Percentual de Leitos Bloqueados por Motivo Operacional (↓)",NULL
508,"Taxa de Crescimento da População ",NULL
509,"Percentual de Óbitos Não Fetais com Causa Básica Mal Definida Investigados (↑)",NULL
510,"Percentual de Declaração de Óbitos Preenchidas Com Causa Básica Bem Definida (↑)",NULL
511,"População de Nascidos Vivos",NULL
512,"Taxa de Aplicação da Classificação de Robson nas Parturientes Submetidas à Cesariana (↑) ",NULL
513,"Percentual de Municípios que Realizam a Inserção de Dispositivo Intrauterino-DIU na Atenção Básica (↑)",NULL
514,"População Total Agrupada por Ciclos de Vida: Crianças, Adolescentes, Jovens, Adultos e Idosos",NULL
515,"Cobertura Vacinal de Poliomielite (↑)",NULL
516,"Taxa de Doador de Primeira Vez  (↑)",NULL
517,"Proporção de Municípios que Realizaram o Monitoramento de Dados de Saúde da Pessoa Idosa no Estado de Goiás (↑)",NULL
518,"Percentual de Recusa Familiar para Doação de Tecido Ocular em Óbitos por Parada Cardiorrespiratória (PCR) (↓)",NULL
519,"Percentual de Óbitos Infantis Investigados  (↑)",NULL
520,"Índice de Intervalo de Substituição de Leitos Hospitalares (dia) (↓)",NULL
521,"Taxa de Utilização (TU) de Ventilação Mecânica (VM) (↓)",NULL
522,"Percentual de Suspensão de Cirurgias Programadas por Condições Operacionais (Causas Relacionadas ao Paciente)  (↓)",NULL
523,"Porcentagem de Mortalidade Institucional (↓)",NULL
524,"Percentual de Exames de Imagem com Resultado Disponibilizado em até 72 Horas (↑)",NULL
525,"Taxa de Utilização de Cateter Vesical de Demora (CVD) (↓)",NULL
526,"Taxa de Mortalidade por Acidente de Transporte Terrestre (↓)",NULL
527,"Percentual de Atendimento Interno às Solicitações de Hemocomponentes (↑) ",NULL
528,"Percentual de Exames de Imagem com Resultado Disponibilizado em até 10 Dias (↑)",NULL
529,"Percentual  de Concessão de OPME (↑)",NULL
530,"Proporção de Gestantes com pelo Menos 6 (seis) Consultas Pré-Natal Realizadas, Sendo a Primeira até a 12ª Semana de Gestação (↑)",NULL
531,"Cobertura Vacinal de Febre Amarela na Criança Menor de 1 ano de Idade (↑)",NULL
532,"Percentual de Óbitos com Doenças de Notificação Compulsória Investigados (↑)",NULL
533,"Razão de Exames de Mamografia de Rastreamento Realizados em Mulheres de 50 a 69 Anos de Idade (↑)",NULL
534," Proporção da População Servida por Coleta de Lixo (↑)",NULL
535,"Variação da Proporção de Resíduos por Grupo (↓)",NULL
536,"Percentual de Cumprimento dos Planos de Manutenção Preventiva (PMP) dos Sistemas de Climatização, Ventilação e Exaustão (↑)",NULL
537,"Proporção de Óbitos Infantis e Fetais Investigados (↑)",NULL
538,"Percentual de Óbitos Mulheres em Idade Fértil- MIF (10 a 49 Anos) Investigados (↑)",NULL
539,"Taxa de Analfabetismo (↓)",NULL
540,"Percentual de Conclusão do Plano de Manutenções Programadas em Equipamentos Médicos Assistenciais (↑)",NULL
541,"Taxa de Mortalidade de Câncer de Mama em Mulheres (↓)",NULL
