TAREFA_ID,FONTE_DADOS,HORAS_EXECUTADAS,HORAS_ESTIMADAS_SKLEARN,HORAS_ESTIMADAS_NUMPY,ERRO_SKLEARN,ERRO_ABSOLUTO_SKLEARN,ERRO_QUADRATICO_SKLEARN,ERRO_PERCENTUAL_SKLEARN,ERRO_NUMPY,ERRO_ABSOLUTO_NUMPY,ERRO_QUADRATICO_NUMPY,ERRO_PERCENTUAL_NUMPY,DIFERENCA_MODELOS,MODELO_MAIS_PROXIMO,MODEL_SCOPE,FEATURE_SET_NAME,DATA_ANALISE
115763,SNOWFLAKE,2.0,1.78,1.21,-0.22,0.22,0.0484,11.0,-0.79,0.79,0.6241,39.5,0.57,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
62973,SNOWFLAKE,2.0,1.68,1.29,-0.32,0.32,0.1024,16.0,-0.71,0.71,0.5041,35.5,0.39,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
50631,SNOWFLAKE,4.0,3.8,3.21,-0.2,0.2,0.04,5.0,-0.79,0.79,0.6241,19.75,0.59,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
155605,SNOWFLAKE,1.5,1.46,1.36,-0.04,0.04,0.0016,2.67,-0.14,0.14,0.0196,9.33,0.1,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
105813,SNOWFLAKE,1.0,0.86,0.79,-0.14,0.14,0.0196,14.0,-0.21,0.21,0.0441,21.0,0.07,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
160116,SNOWFLAKE,4.0,1.22,0.67,-2.78,2.78,7.7284,69.5,-3.33,3.33,11.0889,83.25,0.55,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
2818,SNOWFLAKE,1.0,0.94,0.87,-0.06,0.06,0.0036,6.0,-0.13,0.13,0.0169,13.0,0.07,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
84730,SNOWFLAKE,1.0,0.87,0.79,-0.13,0.13,0.0169,13.0,-0.21,0.21,0.0441,21.0,0.08,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
120195,SNOWFLAKE,6.0,6.41,2.63,0.41,0.41,0.1681,6.83,-3.37,3.37,11.3569,56.17,3.78,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
156871,SNOWFLAKE,2.0,1.74,1.28,-0.26,0.26,0.0676,13.0,-0.72,0.72,0.5184,36.0,0.46,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
16226,SNOWFLAKE,2.0,2.62,1.93,0.62,0.62,0.3844,31.0,-0.07,0.07,0.0049,3.5,0.69,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
72681,SNOWFLAKE,2.0,1.91,1.34,-0.09,0.09,0.0081,4.5,-0.66,0.66,0.4356,33.0,0.57,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
74435,SNOWFLAKE,1.0,0.91,0.77,-0.09,0.09,0.0081,9.0,-0.23,0.23,0.0529,23.0,0.14,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
35580,SNOWFLAKE,1.0,1.15,1.0,0.15,0.15,0.0225,15.0,0.0,0.0,0.0,0.0,0.15,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
102602,SNOWFLAKE,2.0,1.74,1.28,-0.26,0.26,0.0676,13.0,-0.72,0.72,0.5184,36.0,0.46,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
75835,SNOWFLAKE,2.0,1.07,0.98,-0.93,0.93,0.8649,46.5,-1.02,1.02,1.0404,51.0,0.09,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
11976,SNOWFLAKE,0.2,0.87,0.79,0.67,0.67,0.4489,335.0,0.59,0.59,0.3481,295.0,0.08,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
26913,SNOWFLAKE,0.5,0.97,0.95,0.47,0.47,0.2209,94.0,0.45,0.45,0.2025,90.0,0.02,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
150329,SNOWFLAKE,0.25,0.5,0.6,0.25,0.25,0.0625,100.0,0.35,0.35,0.1225,140.0,0.1,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
47839,SNOWFLAKE,1.0,1.2,0.96,0.2,0.2,0.04,20.0,-0.04,0.04,0.0016,4.0,0.24,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
156992,SNOWFLAKE,1.0,0.76,0.94,-0.24,0.24,0.0576,24.0,-0.06,0.06,0.0036,6.0,0.18,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
160717,SNOWFLAKE,1.0,0.85,0.8,-0.15,0.15,0.0225,15.0,-0.2,0.2,0.04,20.0,0.05,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
138207,SNOWFLAKE,2.0,2.18,0.74,0.18,0.18,0.0324,9.0,-1.26,1.26,1.5876,63.0,1.44,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
77570,SNOWFLAKE,2.0,1.61,1.17,-0.39,0.39,0.1521,19.5,-0.83,0.83,0.6889,41.5,0.44,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
62024,SNOWFLAKE,4.0,5.52,4.59,1.52,1.52,2.3104,38.0,0.59,0.59,0.3481,14.75,0.93,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
