TAREFA_ID,HORAS_REAIS,PREVISAO_SKLEARN,PREVISAO_SKLEARN_RESTRICTED,PREVISAO_NUMPY,ACERTO_SKLEARN (10%),ACERTO_SK_RESTRICTED (10%),ACERTO_NUMPY (10%)
107067,5.0,4.39,4.22,2.9,False,False,False
76178,6.0,4.86,4.89,4.91,False,False,False
46796,14.0,12.1,11.06,8.47,False,False,False
159072,2.0,1.83,1.99,1.29,True,True,False
69291,2.25,5.41,5.46,4.69,False,False,False
13337,2.0,1.9,2.36,1.66,True,False,False
126039,2.0,1.8,1.9,1.54,True,True,False
117874,2.0,1.67,1.78,1.54,False,False,False
67908,1.0,0.89,1.03,0.88,False,True,False
8055,0.67,1.67,1.78,1.54,False,False,False
64936,0.5,0.76,0.92,0.93,False,False,False
147518,9.0,9.95,10.2,10.39,False,False,False
130155,1.0,0.89,1.03,0.88,False,True,False
46894,1.0,0.85,0.93,0.89,False,True,False
24912,3.0,3.55,3.32,3.41,False,False,False
160258,2.0,1.73,1.96,1.28,False,True,False
72664,2.0,1.73,1.96,1.28,False,True,False
18939,0.5,0.89,0.95,0.5,False,False,True
138830,2.0,0.76,0.92,0.93,False,False,False
47593,4.0,3.71,3.76,3.17,True,True,False
147388,0.5,0.85,1.13,1.17,False,False,False
153321,1.0,0.84,0.93,0.89,False,True,False
80041,1.0,0.89,1.03,0.88,False,True,False
122939,4.0,3.53,3.61,3.29,False,True,False
165509,2.0,1.6,1.56,1.54,False,False,False
9738,0.25,0.96,1.14,1.28,False,False,False
158082,0.25,0.5,0.66,0.88,False,False,False
54874,1.0,0.85,0.93,0.89,False,True,False
104424,2.0,1.68,1.75,1.5,False,False,False
4346,2.0,2.62,2.96,1.94,False,False,True
90471,0.75,1.09,1.65,1.45,False,False,False
106902,1.25,1.65,1.77,1.53,False,False,False
13387,0.2,0.75,0.96,0.93,False,False,False
163440,14.0,11.31,11.73,10.15,False,False,False
34399,1.0,1.74,1.79,1.48,False,False,False
107791,0.0,0.5,0.5,0.5,False,False,False
94511,1.0,1.11,1.59,1.09,False,False,True
53060,2.0,1.83,1.99,1.29,True,True,False
75784,1.0,0.86,0.93,0.89,False,True,False
133690,1.0,0.92,1.16,1.16,True,False,False
148806,1.0,1.66,1.78,1.53,False,False,False
127406,4.0,3.61,3.37,3.4,True,False,False
83362,1.0,0.89,1.03,0.88,False,True,False
134150,1.0,0.89,1.03,0.88,False,True,False
54396,16.0,14.27,11.96,11.11,False,False,False
44766,1.0,0.86,1.01,0.58,False,True,False
144213,8.0,7.52,7.53,6.46,True,True,False
34914,1.0,0.78,0.9,0.97,False,True,True
25645,8.0,6.51,7.32,5.76,False,True,False
28745,0.5,0.82,0.88,1.03,False,False,False
158990,0.25,0.5,0.66,0.88,False,False,False
156718,4.0,3.38,3.79,2.28,False,True,False
147008,1.0,0.92,1.44,1.1,True,False,False
64101,1.0,0.84,0.93,0.89,False,True,False
64684,0.0,0.58,0.5,0.56,False,False,False
143891,0.5,0.5,0.78,0.93,True,False,False
59235,2.0,1.8,1.9,1.54,False,True,False
26639,0.5,0.82,0.88,1.03,False,False,False
98637,1.0,0.89,0.91,0.52,False,True,False
107027,1.0,0.85,0.93,0.89,False,True,False
56733,1.0,1.77,1.7,1.43,False,False,False
121433,1.0,0.96,1.31,1.32,True,False,False
131294,1.0,0.85,0.93,0.89,False,True,False
82597,2.0,1.88,1.68,1.28,True,False,False
37644,7.0,3.91,4.12,3.75,False,False,False
127335,0.0,0.5,0.5,0.5,False,False,False
114504,1.0,0.85,0.93,0.89,False,True,False
138198,1.0,1.91,1.48,1.51,False,False,False
